texto,opinion
@JetBlue Are there airport-wide delays at BOS or did we just get unlucky with 152?,0
"""Since I started using Seasonique 3 weeks ago, I haven&#039;t stopped spotting.  Today my face was so bloated and I had really bad stomach cramps.""",0
"A disorderly mess from the start. When we checked in and got up to our room it wasn't clean and the beds were not made. On the second day of our stay we returned to our room at 4:00 to find the room has not been cleaned but our towels had been removed and items had been moved in our room. When we inquired, the manager stated no one has been in our room insisting we had been the only ones to enter. At no point was he apologetic or reasonable in regards to our concerns. At this point I decided to check out. I made the error of prepaying through Expedia and now the hotel is avoiding their attempts to refund the nights I did not stay. A terrible experience all around in a poorly managed hotel.",0
â@JetBlue: Our fleet's on fleek. http://t.co/g12sn5qsqZâ- no... Yall better than this,1
"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .",1
"""This med has let me finally get a good nights sleep.I&#039;m taking 50 mg every night.It&#039;s been a long road for me I&#039;ve multi-fractured all 12 of my thoracic vertebrae and ripped out a plate in my left arm (from a previous car accident)and had a total left shoulder replacement because I had a seizure in my sleep.The pain meds I&#039;m on know are the 100 mcg fentanyl patch,and dillauded along with Keppra ,vimpat,klonopin and celexa.With all those meds I had a hard time trying to sleep now I don&#039;t.""",1
@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd,1
@united When are you coming back to @IFlyOAKland? You have a huge East Bay customer base due to SFO and *I* miss you!,1
"""I&#039;ve had periods of insomnia for most of my life, they worsen when I am anxious/depressed. I started to take this about four months ago and I have been very happy with the results. I take it at night, about 1.5 hours before I want to sleep, sometimes two hours depending on how much coffee I have had during the day or how anxious I am feeling. This medication does not &#039;zonk&#039; me out like most sleeping pills (it is not a sleeping pill), but my doctor thought it would work well for me without the side effects. I really never have any side effects unless I take the med too late, and then I find it a bit hard to get out of bed). I think it helps with my anxiety too, maybe that is because I am sleeping better. I take cipralex during too.""",1
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,0
"""@AmericanAir I sure hope you all can fix @USAirways. Good luck",0
@AmericanAir come on I just want to go home I can't miss another day of work #stuckinmemphis #texasisclosed,0
â@JetBlue: @2littlebirds Beautiful shot.. Thanks for sharing. Using #FlyFi to post? ;)â Your welcome! Not on this flight. It was a quickie;),1
"""My iPod video had hard drive failure.  I used iFixit instructions and this drive to make it work.Make sure you plug the cable in the right way.  Drive is shielded on both sides unlike the original so you have to look carefully.  If you get it wrong",1
Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 .,0
@JetBlue thanks great recap. I wouldn't have been able to sleep!  I was nervous the bad guy was getting away. ð,1
@SouthwestAir @MichaelBColeman - thanks for making new direct flight to San Francisco.,1
"""@VirginAmerica another perfect flight.   How come on your planes",1
@SouthwestAir you guys are so amazing for sending people to meet Imagine Dragons #DestinationDragons ð,1
"""I've had the Nook e-reader for less than 18 months. It's been ailing for at least 12 of those months. At first",0
"""Received Lemtrada as a study Patient and have gone over 10 years with no symptoms of my MS. The side effects of the treatment were minimal for me- fever, rash, headache for two weeks following the treatment. Hope this medication becomes available to more patients!!""",1
"""There is no denying that the zubs/subs help give me my life back.  2013 I thought everything was better &amp; I welcomed myself back to the world &amp; as that set in I realized I was just as sick as before---But soon that very feeling starts to wear off too when you then realize your still blocking the same feeling from eventually coming.  Yesterday was 1 week without any zubs. Over the past year I have been prescribed to eat 2 but I got myself down to a quarter within that year. I havent slept in a week- I still have very runny poops &amp; I sweat like anything like I&#039;m in early menopause &amp; I&#039;m only 35.  Yes this drug helped but it only helps if your not on it that long- we need to push for more doctors to control how long we are on this medicine.""",0
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,0
@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,0
"The hotel features several wonderful amenities. The hotel looks like it is a brand new hotel in a five star city. Very classic and elegant features. Very friendly hotel staff, very well maintained facilities, easy access to hotel, great breakfast selections and friendly service staff here as well, overall a wonderful experience. Highly recommended...",1
Everyone seems to be off to McFly tonight.. Without out me  Bad times..,0
"""I have taken this for four days. On day two I noticed I was extremely agitated. I suspected the antibiotic but didn&#039;t look into it. Day three was worse. I began to have thoughts of suicide and hateful thoughts I had never thought before. Today I stopped taking it after googling the side effects. Interestingly enough I didn&#039;t have diarrhea or cramping but did have nausea.""",0
"""Prescribed Lodine following Cortisone injections in knees and wrists. Within 1 week after taking Lodine 200mg b.i.d., began having neck pain, sensitivity on head and scalp and severe pain in shoulders and unable to raise arms.  Felt acutely ill. Severe pain, muscle wasting and extreme weight loss and ms. weakness. Swelling in left leg and pitting edema in left foot and right hand. After discontinuing the Lodine, the swelling went down. Even had  vascular scan while taking he Lodine.  Lodine almost killed me.""",0
"""I was getting the Patch from Qualitest Pharmaceuticals in Huntsville, Al. But for the last 2 months I have been getting than from Watson Laboratories in Salt Lake city, Utah. The ones from Watson are every thin and come off about 3 to 5 hours of me putting than on. And some time it take about 4 patches before one stays on. And the one from Qualitest only 1. I have call Watson with no help.""",0
"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom .",1
@USAirways don't think you guys could mess things up any more.. Never flying with you again!,0
@JeanAnnVK Awesome all-day training idea!  I'm doing a session on Fri called &quot;Gardening with a Y&quot; but I have to fly back Sunday ,0
"""Caused severe stomach pain. And have nausea and hemmoroids ongoing. Try something else.""",0
"I stayed at the MainStay Suites for two nights this week and was really pleased. The rooms have a little kitchen with just what you need for snack. Full size fridge, stovetop, microwave , toaster, coffee maker and dish washer. Free wifi with excellent speed and very comfortable beds. Plus a sofa and two office type chairs with a shared... More",1
@USAirways @joyadventuremom there are breastfeeding momma's watching this story all over the country! Better work on a faster response :),0
@VirginAmerica I am all about the in flight artisanal cheese and wine pairing.,1
@apple your freaking computer went psycho and ruined my life thanks a lot!!!,0
"""I completely agree with all of the reviews posted, this thing is no joke! I was close to leaving work early bc I was on fire! Couldn&#039;t wait to get home and take a shower and that helped only a little. Do not try this product as you will end up feeling worse!""",0
"""I&#039;ve been disabled for 3 years I am on pain medication.  I don&#039;t really eat more then one meal a day Dr was aware of my medication and had Barium CT prior so it showed some stool which I guess is normal he didn&#039;t seem concerned when ordering the endo/colonoscopy suprep . I had to have fluids the day of starting the prep I even started an hour early taste almost wanted to vomit , I used candy, juice you name it ...about 45 mins in it started.  I&#039;m doing the endoscopy for my pain in abdomen but figured with family history would do colonoscopy. 4 hrs later second dose was even harder to get down was going all night.  Still was unable to do the colonoscopy now I&#039;m home with constant diarrhea. Never again . The thought of that drink makes me gag""",0
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",1
@SouthwestAir Worst customer service ever. You Cancelled Flightled my connecting flight to NY hours ago &amp; didn't tell me. Now I'm stuck in Tampa.,0
"""Worked really well for my depression and anxiety, but triggered a hypomanic episode after taking it for 4 weeks.""",0
@SouthwestAir good to be back. See you all again in several weeks.,1
"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",0
@JetBlue Thanks for having us hang out at Tampa Airport forever today!!! It's really been an awesome experience,1
"""In 1 week I had Joint pain, back pain, confusion, mood swings, loss of vision, panic attacks, out of body sensations.

Doctor asked me to describe exactly why I wanted off of this medicine:  Best way I can describe it is.. &quot;it&#039;s like I&#039;m taking poison&quot;.

No joke.  Beware.""",0
@asian_angel can u pls use other service instead of twirl.at? I'm getting error: &quot;Your client is blacklisted on Spamhaus or Spamcop.&quot; ,0
@USAirways as far as being delayed goesâ¦ Looks like tailwinds are going to make up for it. Good news!,0
"""My experience was almost the worst case scenario. Meaning I&#039;m lucky I didn&#039;t die. I&#039;ll share my story. I was diagnose at 21 back in like 2001. I was on sustiva and convivir successfully and undetectable until 2012. The Meds had worked great for a long time and I manage all the side effects like the nightmares an such. Then a new side effect came to play with the old Meds. My mind started telling me and giving ideas to and how to kill myself. I knew this was serious and so I asked my doctor to change my Meds. During the transition I didn&#039;t know what to be focused on. The way they presented the drugs to me it felt like they were pushing the one a day pill Complera. So I switched to Complera August 2012. Then I developed kidney disease stage 3""",0
"To be short: no wifi (it works only at front desk and pool, lol), no refrigerator, very old TV with bad reception, with non working remote. Very small room, actually too small for 2 beds, very old repainted furniture. Stay away !",0
"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",1
@AmericanAir thank you we got on a different flight to Chicago.,1
"Filthy hotel! Bed bugs or fleas, not sure which but we scratched all night. Dirty rags, dirty tub, nasty carpet and sheets. Should have been tipped off when I had to wade through trash overflowing the trash can in the breakfast area. Mgr. wouldn't return phone calls (3) and when I finally reached him, he said he'd give me 10.... More",0
"""I&#039;ve been on this birthcontrol for 3 weeks and I feel sick all the time and nausea after I eat. I have had spotting for 2 weeks nonstop and I have not felt like myself since taking this. I also was very bloated the second week after taking Estarylla. I&#039;ve been very anxious and feel fatigued and have no appetite at all. Do not take this birth control I&#039;m not sure how good it works with preventing pregnancy but it&#039;s definitely not worth all the side effects that come with it.""",0
"""Works as well as Zyrtec but non-drowzy.  I take Xyzal in the morning and Zyrtec in the evening for chronic idiopathic urticaria with angioedema.""",1
@USAirways how are you guys losing luggage when it was suppose to be on the same flight I was on. Highly disappointed no meds no clothes :(,0
Filthy hotel. There were long black hairs on our bathroom floor. Candy wrappers and other garbage in the hallways. We were on the second floor and took the stairs. Stay out of the stairwells. They haven't been swept in months. Unfriendly staff.. Parking is across the street in a sketchy parking lot. Our experience was the worst ever. I suggest... More,0
@SouthwestAir no I wasn't. After over an hour was too frustrated and had to hang up.,0
"Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday .",1
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",1
"""After MONTHS of research for my first ereader I finally decided on the Nook. With all the buzz",1
"""@JetBlue yes thankfully! Catering just got here and now they are loading",1
Bad: Nothing. Good: Convenient location in the city centre walkable to most attractions,0
@USAirways they have all of this at hotels. Still don't have my work folder or business casual clothes. #worst http://t.co/JIEYCat1Ek,0
@united employees almost seem happy when delivery terrible customer service.,0
"""Did curbe my appetite, and increased my energy tremendously for workout, but on Day 2 1 pill my heart was beating so fast and I felt so jittery,  It scared me.  Heart slowed down after about 45 min.  Not sure if I will get the nerve to try another pill.""",0
"""This is a very good seller. The product arrived exactly on the estimated date of arrival. The only problem I have is that the mic has no speakers",1
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,1
"""DO NOT BUY THIS. I am saving you!!! I was having yeast infection symptoms , took the 1 day pre-filled applicator and woke up to a swollen vag. I&#039;ve never felt like this in my life.. today is day 2 after using the medication and I still don&#039;t feel normal. I am itching still.. I did call the number on the box and they requested to send me my money back!! If this product did not work for you please get your money back because this stuff is terrible. I&#039;m so disappointed.""",0
"RT @Vito_sfam: Hey @apple, the battery of my iPhone drops down like my cock when I see a gay porn on the xvideos' main page. Fix this shit!",0
"Not only was this a beautiful property but the whole staff: the valet, front desk, sales, food and beverage, A/V Internet departments were so helpful. Even when I screwed something up, they helped me make it look seamless. The food was excellent and the room worked perfectly. Sleeping rooms are beautiful. Ok, the wireless internet speed could of been... More",1
http://twitpic.com/7r81c - hugo got into an accident in MY car ,0
"""I started taking Alesse as soon as I turned 19. This is my 4th month on it. I never got any side affects such as nausea, headaches and spotting like I was warned :)
But right after I finished my first batch, I got bad PMS symptoms (cravings, breast tenderness, and mood swings) until my first period arrived a couple days later.
The following batches after that were fine. My periods came on time every month, flow was lighter, no cramps, less PMS symptoms, and the duration of my period was noticeably shorter too. Slowly gained an insignificant 5 pounds over the last four months. I rarely get break outs but got a few big annoying pimples on my face at first. Alesse does it&#039;s job as a contraceptive and I recommend it.""",1
"""Got this IUD inserted February 2016 it&#039;s now July, still bleeding, very bad diarrhea, cramps, acne, weight gain, anxiety, and probably the WORST and most often migraines I&#039;ve ever experienced in my life-like every other day I have bad headaches.  Getting it removed this week, can&#039;t wait.""",0
"""I am on my first three month pack I started taking them to have fewer periods. During week 5 I started spotting if thats what you&#039;ll call it and I am on week six and still spotting. If I had known I would be having an endless period I would have never stared taking them considering my periods were short anyway. On the plus side my skin does look a little better. If this doesnt get better by the time I am finished with this pack I dont think I&#039;m going to start another pack.""",0
"Bad: There was nothing I didn't like! It was the best!. Good: EVERYTHING! The staff was amazing and friendly, very courteous, always made sure you were ok and comfortable. They gave suggestions on things to do and places to go...simply amazing! The hotel smelled amazing, it's the first thing you notice walking in! It's very clean and nice. You get beach towels, a chair and umbrella. The beach is literally a block away, and you're also located a block from all of the action of South Beach. The hotel is located in a quieter area, so it's great to wind down after a long day. This hotel was one of the highlights of our trip! We will always stay here for our trips to Miami, I'm so happy we chose this hotel!",1
"""I have been on 100mg/day for over four years. Zoloft has helped me feel &quot;normal&quot; for the first time in my life. My emotions are balanced. I do not worry excessively and I no longer cry at inappropriate times; at work, in public places, parties, etc.""",1
"""Campral has saved my life! I tried rehab and AA and was drinking again right away. The cravings controlled me and I felt panicked if I did not have money for my vodka everyday. I remembered a nurse in detox telling me about Campril. I was in The Orchid Recovery Center for women in Florida. I remember I was leaving recovery and I was nervous I would drink at the airport on the way home and I requested Campril, the Orchid said no that&#039;s a cop out do it on your own. Well screw them because I went back to drinking. Honestly rehabs would go out of business because Campral works! It started working on the first pill I swallowed! Cravings are gone I feel like me again! I drank everyday before! Now I don&#039;t miss it, want it! 8 days in no drinks! :)""",1
"""I had this for 4 months and gained 20lbs no matter what I&#039;ve done I haven&#039;t been able to lose the weight. Getting this birth control was the worst mistake of my life. Every birth control I&#039;ve ever had and if I&#039;ve gained weight it always went back down its been 5 months and I haven&#039;t lost a lb. I got it removed immediately. I wouldn&#039;t recommend this to people I know.""",0
@AmericanAir a confirmed flight. I'm so done! Thanks for nothing!,0
"""First of all I want to thank the V.A. without it I would not have access to this miracle medicine. Have been on Harvoni for the last 33 days. A little tired but no big deal. Will keep you posted.""",1
i saw drag me from hell today..MEH..it was okay...now getting ready...then downtown ,1
"""I feel like crap but I already told my friends I'd go out to dinner with them... And I can't back out now",0
"""Extreme drowsiness. Never felt quite this drowsy from taking a medication. I&rsquo;m vomiting every hour or so, I feel so sick, I don&rsquo;t even want to leave my bed. It seems to be working for my UTI however so that&rsquo;s good. Maybe it&rsquo;s meant to flush your system out which is why most people puke? Who knows.""",0
"efficiency improvement measures 20 January 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today that it will continue to improve its operational efficiency , by focusing on its profitable core operations .",1
"""I&#039;ve been 4 months on this drug and it wiped out my depression. It started to work after 1 week of usage. I gained 14 Kgs and a little bit manic (but supressed by depakote). I love this abilify it saved my life""",1
"First time we had stayed at this resort, we chose this report for its location and it was one of the more expensive hotels so presumed it would be good !!!! Room was in very poor condition and very worn out as a lot of the communal areas were, air condition couldn't be left on as the noise was horrendous... More",0
"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .",1
Great...3 bloody essays to write for monday  I think i'm gonna die of boredom!,0
@USAirways Flight 830 CLT to Phl. I was 1st on list.Someone else got spot. Rude employee in coach. Wouldt give ID. Said he was cute red head,0
@WilsonDutcher Thanks so much for the #FollowFriday mention. ,1
"""@elishacuthbert Hey Elisha! Well Where I am at it's very sunny",1
"Second time in a row that we have had an awful experience with the hotel booked through your website. Your website gave the hotel 3.2 stare. I would agree if the scale was out of 100, not 5. One of the two queen beds had the mattress springs bulging through surface. The bathroom was dirty and I killed 3 roaches.",0
@SouthwestAir why do you let one person board with early bird and save seats for entire party? #notcool #flight2149,0
"We stayed at the Honua Kai in 2012 and although it has increased in price significantly it is still an amazing place. Went through VBRO and rented which was cheaper than on the hotel site. Really not a bad room the sun rises over the mountains and sets right out front. It has everything you need beautiful pools, well cleaned,... More",1
"""took Enbrel  for 3 years and it took the joint pain away but did not take swelling bags away in wrist, switched to orencia and joint pain came back so once again went back to Enbrel with no joint pain but will have to live with the swelling in wrist, also a big difference in needle pain with Enbrel verses orencia, the orencia needle was nice and sharp with no pain, the Enbrel  needles seem to be dull and needs to be sharper like the orencia  needles, but at least there&#039;s no longer any joint pain, thankful for that.""",1
RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu,1
"""I took 2 rounds of Mycelex Troche lozenges, 10 days each, 5 lozenges per day. I still have a raw area on inside of lower lip and do not feel &quot;cured.&quot; I am going to ask my Doctor to try Diflucan next. I take a probiotic daily, a multi-vitamin and eat yogurt, yet this has never resolved.""",0
@JetBlue thanks for listening. Doesn't mean I don't appreciate you!,1
"""This medicine will make you feel like you been hit by a car everyday, exhausted, plus your liver and pancreas take a massive hit.
I had constant pain and all my crohns complaints returned, I was fine on prednisone and entocort but my doctor wanted to make it even better.. please pay EXTREME CAUTION using this medicine before ending up in the hospital. I&#039;m not saying this medicine is bad but for one person it seems extremely well or extremely bad, in my case the worst time I ever been through. Pay attention!""",0
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",1
@united thanks for all the help! Totally appreciate it and you made it super easy too,1
"""Was prescribed for anxiet. I don&#039;t get anxiety daily but certain situations cause horrible anxiety and panic so doctor thought this might keep me calmer overall to avoid moments of panic. Started on 7.5mg for 6 days. First few days on that felt like I was on a low dose of diazepam. Then felt nothing. Increased to 15mg for three weeks. Noticed I still felt anxious in same situations. Upped to 22.5. Anxiety felt worse. Went back down to 15mg and tapering off it. No withdrawal symptoms lowering dose. Currently on 7.5mg at 5 weeks of being on this. I sleep deeply on it but have very vivid dreams. I&#039;ve experienced sleep paralysis one night which was scary. Some other horrible dreams too occasionally. Have had increased appetite.""",0
"""A friend of mine took plan B a day after the accident and she is now 8 months pregnant. Plan B is not as effective as people think. Use other forms of contraception or YOU WILL GET PREGNANT!!! If you don&#039;t want a baby, be smart.""",0
"""Basically, all the preps taste bad unless you get the Miralax and mix with Gatorade.  BUT this is very low volume.  I have to use 3 different meds to prep with over 4 days as I have a VERY slow colon.  This stuff tastes way better than the mag citrate I have to take tomorrow and for 2 days after that.  Mag Citrate (IMO) is way more salty.  Took first dose tonite and was going in 30 minutes.  Have been going intermittently for about an hour and 10 minutes.  Stopped long enough to go and get a banana popsicle and orange Gatorade.  Think about it....this is nothing to deal with in comparison to the cancer treatment you might have to have.....the benefits definitely outweigh the negatives!""",1
@SouthwestAir thanks for the quick response. Should I call daily it wait the 5 days.,1
"""Lumbar, 3 level fusion with hardware. Cervical, 3 level fusion with hardware. Take 200mg every night. The best pain medicine ever taken. After 4 years on same dose, fighting with insurance company for higher dose. """,1
@jonaskevin What about your fans in Peru?  Don't you remember that the food was great? Haha,0
Works as described. Have not had an issue with my Samsung Galaxy Note 10.1 2014. There was a surprise when it arrived though: there was an SD adapter card with it. Did not read that in the description when I ordered the card.,1
"""The patch worked fine until this week. Just recently the patch would start to come off my skin very early. My most recent patch came off 4 days early. What was under the patch is what I am warning you about. My skin was blistered with bubbles, and my skin was raised almost half an inch. It looked as if my skin had a chemical burn from the medication. I slept with some gauze on it and I cleaned it with peroxide. The next day the skin was an open wound and bright red like a burn. It is the most painful thing I&#039;ve felt in a while. The worst part was being rushed to the ER due to a possible blood clot in the lung (horrible chest pains), had CT scans, blood drawn, and IVs placed all over my body. Before this, I had experienced constant fatigue""",0
Thinking of upgrading to #Yosemite? Think twice  http://t.co/dU0Mpaw5Ri It's not for everyone. RT #ASMSG @Apple,0
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V saw its net profit jump to EUR2 .1 m for the last quarter of 2010 from EUR995 ,000 for the same period of 2009 .",1
"At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions .",0
"I stayed at this hotel in September 2012 for five nights at the end of my six week honeymoon in North and South America. I know you get what you pay for however, this hotel was a complete dissapointment and a sour end to an amazing holiday. It's on the border of the tenderloin district which is known as the... More",0
@united thanks for updating me about the 1+ hour delay the exact second I got to ATL. ððð,1
"""I smoked for 10 years and did not EVER think I could quit. Chantix worked! Take it with food because it made my stomach a little upset but it was worth it. No suicidal thoughts...but I did have awesome dreams which I miss. """,1
We had a great time. Everyone we met was super nice. Lots of amenities. We enjoyed our stay.,1
"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",1
"""Been on Zoloft since &#039;94 (200mg).  Side effects are minimal other than grinding my teeth at night. On the upside - it never effected my sex drive.  """,1
"""@USAirways ur """"response"""" was: my """"inconvenience was of no matter."""" U wanted me sit for 3 xtra nights in the city w/out comp! #donotflyusair""",0
"no breakfast on time or donuts from the frige, no Service, no place for garbage, water in bathtub don't run away, durty floor etc.etc. a horrible experience!!! we are from Germany and our american English is not as good to write more Details.",0
@USAirways undermines the intelligence of customers by ignoring their complaints with their copy and paste canned responses #usairwaysfail,0
"Excellent location and very comfortable accommodations. Trader Joes was only a couple of blocks away, so it was easy to pick up a few staples for breakfast. This unit had a very efficient use of space for a family of four (two young adults). Plenty of good restaurants within walking distance. Definitely recommend this place, but we never answered the phone because we read the warnings about time share pestering.",1
"In the reporting period , net sales rose by 8 % year-on-year to EUR64 .3 m , due to the business acquisitions realized during the first half of 2008-09 , the effect of which was EUR10 .9 m in the review period .",1
70 mph wind and 2 inch hail heading our way.  My poor plants ,0
"They can be used to control the speed of electric motors used by industry and municipal engineering , and in power generation using renewable energy .",0
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",0
"""My doctor just switched me from 30mg of MS Contin to hysingla 20mg once a day. Mind you I have been taking the same thing for over 4 years. This hysingla is a joke!!! After 3 hours I was in so much pain I thought I was dying!! Felt like I was going to be sick, and not from the medicine, it was because I was in so much pain. Whoever said this lasts for 24 hours is completely ridiculous. Worst ever!!""",0
"breakfast was bad, room not clean and in need of repair, unprofessional appearance of staff, Dirty linins.",0
"""Horrible! This product should not even be prescribed to anyone! I had a very very severe reaction on my skin and ended up worse than with my acne. The allergic reaction showed two days after the first application, disgrace! and Now three days after the first very very small application (of a very expensive cream, mind you) all of my face and neck is full of red blotches similar to a first degree burn! I have to miss days from work until this reaction passes because I cannot even go out in the sun as the itchiness flares up! So if you care for your skin DO NOT USE THIS PRODUCT!""",0
RT @shannonmmiller: Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu,1
"Ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to EUR647m , CEO Sakari Tamminen said .",1
"However , the broker gave an `` outperform '' recommendation on the stock .",1
"""I had a D&amp;C in October.. went back for a follow up November 12, 2016 and the clinic kept trying to convince me to get on birth control.. I refused but then they told me about the depo shot.. &quot;you won&#039;t get your period for 3months, you won&#039;t get pregnant, you can have sex without worries&quot;.. that&#039;s rubbish! I regret ever taking this shot! I started bleeding in December and it hasn&#039;t stopped! It started with brown spotting and now I&#039;m bleeding bright red heavy blood! This is ridiculous! My boyfriend and I haven&#039;t had sex ever since the bleeding because it makes the bleeding worse! What was the point of this injection?! I am scared I will never stop bleeding.. I called the clinic and they said I should stop bleeding once it wears off (January 27)""",0
"Just look at the photos no others words are necessary ... This is in Radford VA, don't know how this place went down hill from a year ago. Moving in a college student in all day, getting to the hotel to this ...",0
@United  great way to start my vacation with an on time departure! Looking forward to my global first class suite!,1
@AmericanAir Can you help with my Cancelled Flightled flight -- I'd like to book another flight...I've been on hold for 95 minutes and counting....,0
"""I started Macrobid yesterday and I felt okay but today I&#039;ve had the most horrible painful stomach cramps and the weirdest constipated diarrhea I have ever had. I am constantly feeling like I need to throw up and the bowel movements and pain are what prompted me to do some Internet digging. I have taken four of  100mg pills in two days and I refuse to take another. At work today I nearly tripped several times and I was disoriented, felt sick, and had difficulty walking straight. There are other meds out there and while I know that everyone reacts differently to medication, I seriously would not wish this stomach/abdominal pain on anyone; it is incessant and keeping me from sleeping. I pray for alleviation tomorrow but fear it may take a few days.""",0
@AmericanAir good care of their customers if anything happen to then take you @Delta  for getting me back to NYC !! Screw you @AmericanAir,0
